#{"t_start": 1709839839.9472349, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
350.0,2517,1.57144
75.0,1503,1.998389
70.0,1931,2.558258
145.0,2021,3.150617
65.0,1499,3.591414
400.0,3383,4.512535
155.0,2865,5.391013
185.0,2325,6.045046
185.0,1979,6.592984
230.0,3057,7.55912
180.0,2341,8.312663
260.0,3103,9.312815
105.0,1997,9.917498
155.0,2121,10.57963
125.0,2801,11.522992
325.0,2739,12.256346
50.0,1233,12.61348
20.0,1943,14.521065
365.0,4149,24.036003
200.0,2019,28.384073
420.0,4301,39.146816
185.0,1963,44.205184
250.0,2285,49.53598
235.0,2501,55.799033
100.0,2045,60.935474
45.0,1189,64.349797
200.0,2027,69.306647
445.0,3711,78.137635
230.0,2395,84.58872
55.0,2195,89.97972
390.0,4025,100.077853
225.0,2331,105.443443
225.0,1927,110.166213
190.0,1909,115.037661
325.0,3167,123.034178
230.0,2861,129.675021
375.0,4257,141.009503
605.0,4811,152.092994
200.0,2823,158.756366
145.0,1893,172.106699
230.0,2801,178.702133
240.0,3285,186.542133
310.0,2999,193.796624
290.0,4171,203.828777
220.0,2731,209.775609
360.0,4685,219.867848
155.0,2627,225.378324
110.0,1873,229.523884
250.0,3595,237.384167
370.0,2557,242.551845
210.0,2009,246.643559
190.0,2101,251.211197
200.0,2507,257.095916
820.0,4295,267.407064
510.0,4161,276.973634
325.0,3089,283.743254
105.0,1267,286.4231
585.0,4226,295.447706
95.0,1885,299.8868
575.0,4797,310.950301
125.0,1143,313.361722
220.0,2531,318.92767
25.0,1905,323.561757
475.0,4187,333.012489
190.0,2097,338.044554
490.0,3883,347.114501
270.0,2793,353.369573
210.0,2027,357.767557
185.0,3267,365.424041
195.0,3735,373.824658
105.0,1941,378.148484
270.0,3959,386.68651
105.0,1089,389.126226
70.0,1811,393.073701
345.0,4451,411.582267
135.0,1979,416.279751
190.0,2397,421.70568
330.0,3609,429.647571
550.0,4789,443.137053
270.0,3155,451.461723
565.0,3353,460.051099
380.0,3217,469.049977
365.0,2149,474.343539
385.0,3511,482.590742
565.0,3405,491.754425
455.0,3573,501.606064
265.0,3445,510.676892
495.0,3309,519.37164
625.0,3115,527.028021
375.0,3091,534.228476
220.0,2281,539.8427
210.0,2809,547.773862
175.0,2051,553.333923
290.0,3373,562.670976
60.0,1951,568.035582
805.0,4359,579.976555
40.0,1879,585.429334
600.0,3277,593.577171
280.0,2889,600.748627
540.0,2641,607.293719
565.0,3979,617.404749
170.0,2109,623.184169
325.0,3427,631.833829
160.0,1941,636.799486
315.0,3241,644.699474
55.0,1147,647.274418
250.0,2331,652.737175
125.0,2127,657.700753
215.0,2417,663.172741
240.0,2009,675.967691
310.0,3346,683.812241
445.0,4445,695.291224
235.0,2081,700.607164
210.0,2613,707.03725
220.0,3313,715.049125
260.0,2477,722.372657
235.0,2539,728.411681
145.0,1907,733.026618
220.0,1917,737.512117
420.0,4073,747.437425
395.0,3013,754.520604
90.0,1061,756.930439
540.0,2697,763.115233
195.0,2857,769.700147
185.0,1961,774.227271
390.0,4659,784.910685
230.0,2471,790.549938
145.0,1475,793.915379
90.0,1133,796.473517
215.0,3423,804.64367
105.0,1907,809.211273
95.0,1725,813.334805
15.0,1467,816.655724
440.0,3679,825.070532
65.0,2075,829.737581
560.0,3073,836.807183
245.0,2553,842.578271
295.0,2707,848.771025
55.0,1901,853.042229
30.0,1185,855.72596
210.0,2817,862.208325
90.0,1935,866.642795
160.0,2069,871.3227
175.0,1971,875.755842
230.0,2503,881.471829
250.0,2583,887.43374
250.0,2615,893.443963
195.0,2489,899.167794
280.0,3021,906.165637
150.0,1955,910.60746
